algorithm,num_updates,progress_fraction,stage,n_runs,solve_rate_mean,solve_rate_sem,solve_rate_n,return_mean_mean,return_mean_sem,return_mean_n,bank_size_mean,bank_size_sem,bank_size_n,score_priority_lift_mean,score_priority_lift_sem,score_priority_lift_n,score_priority_lift_q80_normalized_mean,score_priority_lift_q80_normalized_sem,score_priority_lift_q80_normalized_n,exact_unique_ratio_mean,exact_unique_ratio_sem,exact_unique_ratio_n,duplicate_fraction_mean,duplicate_fraction_sem,duplicate_fraction_n,dominant_share_mean,dominant_share_sem,dominant_share_n,shannon_effective_size_mean,shannon_effective_size_sem,shannon_effective_size_n,simpson_effective_size_mean,simpson_effective_size_sem,simpson_effective_size_n,topology_unique_ratio_mean,topology_unique_ratio_sem,topology_unique_ratio_n,mean_pairwise_wall_distance_d4_mean,mean_pairwise_wall_distance_d4_sem,mean_pairwise_wall_distance_d4_n,mean_nearest_wall_distance_d4_unique_mean,mean_nearest_wall_distance_d4_unique_sem,mean_nearest_wall_distance_d4_unique_n,mean_wall_count_mean,mean_wall_count_sem,mean_wall_count_n,mean_wall_fraction_mean,mean_wall_fraction_sem,mean_wall_fraction_n,mean_solvable_mean,mean_solvable_sem,mean_solvable_n,mean_shortest_path_mean,mean_shortest_path_sem,mean_shortest_path_n,mean_manhattan_distance_mean,mean_manhattan_distance_sem,mean_manhattan_distance_n,mean_path_stretch_mean,mean_path_stretch_sem,mean_path_stretch_n,mean_reachable_fraction_mean,mean_reachable_fraction_sem,mean_reachable_fraction_n,mean_dead_end_fraction_mean,mean_dead_end_fraction_sem,mean_dead_end_fraction_n,mean_junction_fraction_mean,mean_junction_fraction_sem,mean_junction_fraction_n
Editor transfer,200,0.006666666666666667,Early (0-10k),3,0.0,0.0,3,0.0,0.0,3,2826.6666666666665,21.333333333333336,3,,,0,,,0,0.40625,0.036084391824351615,3,0.59375,0.036084391824351615,3,0.6145833333333334,0.03755782578608323,3,5.150567527120003,0.7201839963952967,3,2.6086215160209476,0.2820788531341394,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,400,0.013333333333333334,Early (0-10k),3,0.0,0.0,3,0.0,0.0,3,3904.0,55.42562584220408,3,0.02118724910542369,,1,0.6269403045435437,,1,0.3541666666666667,0.020833333333333336,3,0.6458333333333334,0.020833333333333332,3,0.6145833333333334,0.020833333333333332,3,4.655128888072201,0.3701470066336287,3,2.5417605148241784,0.15297632728108482,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,600,0.02,Early (0-10k),3,0.02083333395421505,0.011023964195043555,3,0.01193833320091168,0.006928477729013751,3,4000.0,0.0,3,0.04281051899306476,0.0058443953415067,3,0.997788797283455,0.14504707922516186,3,0.40625,0.03125,3,0.59375,0.03125,3,0.59375,0.036084391824351615,3,5.37810618434812,0.6573879420094267,3,2.7655667762732103,0.3027651194236631,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,800,0.02666666666666667,Early (0-10k),3,0.05000000074505806,0.0,3,0.01788499765098095,0.000561047972482619,3,4000.0,0.0,3,0.02792088221758604,0.0011081068115266982,3,0.584079082841393,0.01592485193918082,3,0.4166666666666667,0.07291666666666667,3,0.5833333333333334,0.07291666666666667,3,0.5729166666666666,0.04540519732854869,3,5.9259507575483665,1.2282798147506242,3,3.000852514919011,0.4441945357105022,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,1000,0.03333333333333333,Early (0-10k),3,0.07083333407839139,0.027322660120253993,3,0.036663332022726536,0.018454859120488856,3,4000.0,0.0,3,0.02956096300234397,0.007617819575589079,3,0.6277593643412214,0.15145138852002496,3,0.3958333333333333,0.020833333333333336,3,0.6041666666666666,0.020833333333333332,3,0.59375,0.0,3,5.206999516356253,0.18172362165042286,3,2.709147199549676,0.01441035744441314,3,0.3958333333333333,0.020833333333333336,3,0.13835337532608002,0.0008226728693470117,3,0.18836291913214986,0.0017778852443116192,3,23.208333333333332,0.03755782578608323,3,0.13732741617357003,0.00022223565553894552,3,1.0,0.0,3,10.260416666666666,0.5116905871172973,3,8.90625,1.7362742978861376,3,1.3143353174603174,0.3046643472709547,3,0.9991389151314753,0.0004977167221919829,3,0.02781783275577665,0.0038671240990314363,3,0.8079785197206771,0.008861238169593428,3
Editor transfer,1200,0.04,Early (0-10k),3,0.041666667287548385,0.008333333457509676,3,0.020276665377120178,0.005176885286145391,3,4000.0,0.0,3,0.025976566985870402,0.003459184414334351,3,0.6156223092941051,0.06806790836864406,3,0.3541666666666667,0.06336210969060646,3,0.6458333333333334,0.06336210969060646,3,0.6666666666666666,0.05511981898051231,3,4.314485707113943,1.0315525846827582,3,2.283300188593745,0.3847871779961578,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,1400,0.04666666666666667,Early (0-10k),3,0.062499999068677425,0.028867512545392417,3,0.024594998452812433,0.011685285881643952,3,4000.0,0.0,3,0.021860664943233132,0.0015880044927818124,3,0.5732959232769886,0.0414532231734633,3,0.2916666666666667,0.027559909490256156,3,0.7083333333333334,0.027559909490256152,3,0.7291666666666666,0.020833333333333332,3,3.199563001747571,0.3130613372432628,3,1.8579131414996384,0.1074945587654586,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,1600,0.05333333333333334,Early (0-10k),3,0.0625,0.014433755869421703,3,0.027729997721811134,0.00806409032854253,3,4000.0,0.0,3,0.019930628516400855,0.0028568523055490175,3,0.5543697684451597,0.08538526044934434,3,0.3958333333333333,0.03755782578608323,3,0.6041666666666666,0.03755782578608323,3,0.5729166666666666,0.027559909490256152,3,5.511828063975268,0.6908914156853877,3,2.9072934266742316,0.2590027795128782,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,1800,0.06,Early (0-10k),3,0.05000000074505806,0.02886751388964076,3,0.025040000056227047,0.015421362494485094,3,4000.0,0.0,3,0.02508038895515104,0.0021847192440467215,3,0.7415755669861674,0.08540094920434113,3,0.4166666666666667,0.04540519732854869,3,0.5833333333333334,0.04540519732854869,3,0.5729166666666666,0.06336210969060646,3,5.915656732954299,1.2825956243627075,3,3.0707401019966327,0.605080241458064,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,2000,0.06666666666666667,Early (0-10k),3,0.058333334202567734,0.02204792792074465,3,0.024508332833647728,0.008962638808416192,3,4000.0,0.0,3,0.020177008661751945,0.0020150091543961915,3,0.6265297110834291,0.06937008794794687,3,0.4166666666666667,0.027559909490256156,3,0.5833333333333334,0.027559909490256156,3,0.5416666666666666,0.010416666666666668,3,6.002062573459818,0.40266412258199735,3,3.1612144139883918,0.10671255948996827,3,0.4166666666666667,0.027559909490256156,3,0.1486567092956671,0.0033814287078062413,3,0.1802407323117382,0.0032699571900123253,3,22.989583333333332,0.3347949724997541,3,0.13603303747534518,0.0019810353402352353,3,1.0,0.0,3,8.041666666666666,1.1684788752666626,3,7.958333333333333,1.1134144961683308,3,1.01140873015873,0.009266637744181233,3,0.9971439965455776,0.001031519511314367,3,0.020670324033031044,0.004048396735064219,3,0.8224411017893353,0.00672274231106972,3
