metric,outcome,median_rho,q25,q75,n_runs
dominant_share,contemporaneous,-0.04979229033277413,-0.07420941621526143,0.08524431527611603,21
dominant_share,lead_1000,-0.011141312122282147,-0.04308415165847905,0.0698694180663185,21
exact_unique_ratio,contemporaneous,0.01713988928141382,-0.07868850188318989,0.08546679910807957,21
exact_unique_ratio,lead_1000,-0.024532348442251335,-0.057095363905895306,0.04290450412721811,21
mean_pairwise_wall_distance_d4,contemporaneous,0.05632863783026623,-0.07593581170773893,0.13526481287143427,21
mean_pairwise_wall_distance_d4,lead_1000,0.00792581966593706,-0.09388311894309265,0.11243996565621442,21
mean_shortest_path,contemporaneous,-0.04536339322780614,-0.15051257112488733,0.16800719354418608,21
mean_shortest_path,lead_1000,-0.07809805370780981,-0.15446259885684072,0.03672212204109297,21
mean_solvable,contemporaneous,-0.08750562475218154,-0.17757060735478125,0.05220549285489335,10
mean_solvable,lead_1000,-0.03750054195838293,-0.2944039416151447,0.023401716092362575,10
score_priority_lift_q80_normalized,contemporaneous,0.06010291912289513,0.029749675949085782,0.1341220182863032,12
score_priority_lift_q80_normalized,lead_1000,0.06631409714043242,0.03890224063623007,0.10405481305555585,12
simpson_effective_size,contemporaneous,0.04726531664626245,-0.07852877171488933,0.0906067981790826,21
simpson_effective_size,lead_1000,0.003528526755620212,-0.07796884677184768,0.04025114506320126,21
