credential,entity,project,run_id,run_name,group,algorithm,seed,state,role,created_at,url,final_logged_update,config_matches_protocol,protocol_mismatches,history_rows,expected_history_rows,image_rows,expected_image_rows,structural_rows_expected,structural_decode_failures,min_update,max_update,duplicate_update_rows
env,rundong-liu,JAXUED_TEST,k3t9umt7,editor_transfer-seed0-walls25,maze_editor_transfer_three_seeds,Editor transfer,0,finished,primary,2026-08-21T09:55:26Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/k3t9umt7,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,7vdx47w2,editor_transfer-seed1-walls25,maze_editor_transfer_three_seeds,Editor transfer,1,finished,primary,2026-08-21T09:55:29Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/7vdx47w2,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,v9bj04bs,editor_transfer-seed2-walls25,maze_editor_transfer_three_seeds,Editor transfer,2,finished,primary,2026-08-21T09:55:37Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/v9bj04bs,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,izkk5mlt,editor_log_relative_transfer-seed0-walls25,maze_editor_log_relative_transfer_three_seeds,Log-relative transfer,0,finished,primary,2026-08-22T09:49:08Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/izkk5mlt,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,72fdx4sj,editor_log_relative_transfer-seed1-walls25,maze_editor_log_relative_transfer_three_seeds,Log-relative transfer,1,finished,primary,2026-08-22T09:49:11Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/72fdx4sj,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,6865l4e4,editor_log_relative_transfer-seed2-walls25,maze_editor_log_relative_transfer_three_seeds,Log-relative transfer,2,finished,primary,2026-08-22T09:49:26Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/6865l4e4,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,93e6u91i,editor_log_relative_transfer-seed3-walls25,maze_editor_log_relative_transfer_three_seeds,Log-relative transfer,3,finished,primary,2026-08-25T21:00:32Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/93e6u91i,30000,True,,150,150,150,150,30,0,200,30000,0
secondary,autocurriculum,JAXUED_TEST,sie0pv6z,editor_log_relative_transfer-seed4-walls25,maze_editor_log_relative_transfer_three_seeds,Log-relative transfer,4,finished,primary,2026-08-26T14:45:22Z,https://wandb.ai/autocurriculum/JAXUED_TEST/runs/sie0pv6z,30000,True,,150,150,150,150,30,0,200,30000,0
secondary,autocurriculum,JAXUED_TEST,f6qcecpq,editor_log_relative_transfer-seed5-walls25,maze_editor_log_relative_transfer_three_seeds,Log-relative transfer,5,finished,primary,2026-08-26T14:45:44Z,https://wandb.ai/autocurriculum/JAXUED_TEST/runs/f6qcecpq,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,qoy8wlvi,whole-yogurt-6,maze_robust_plr_three_seeds,MaxMC,0,finished,primary,2026-08-04T06:23:43Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/qoy8wlvi,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,7m4pqx91,morning-wood-7,maze_robust_plr_three_seeds,MaxMC,1,finished,primary,2026-08-04T06:24:02Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/7m4pqx91,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,35m9w32x,magic-salad-8,maze_robust_plr_three_seeds,MaxMC,2,finished,primary,2026-08-04T06:24:12Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/35m9w32x,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,pqct4lrv,MaxMC-seed3-walls25,maze_robust_plr_three_seeds,MaxMC,3,finished,primary,2026-08-26T17:05:00Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/pqct4lrv,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,y09ey343,MaxMC-seed4-walls25,maze_robust_plr_three_seeds,MaxMC,4,finished,primary,2026-08-26T17:05:18Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/y09ey343,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,5rw5cra3,MaxMC-seed5-walls25,maze_robust_plr_three_seeds,MaxMC,5,finished,primary,2026-08-26T17:08:06Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/5rw5cra3,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,lwbqnaep,floral-firefly-9,maze_mean_absolute_advantage_three_seeds,Mean absolute advantage,0,finished,primary,2026-08-04T20:23:36Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/lwbqnaep,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,21u89psq,gentle-bush-10,maze_mean_absolute_advantage_three_seeds,Mean absolute advantage,1,finished,primary,2026-08-04T20:24:03Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/21u89psq,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,73i14emu,honest-star-11,maze_mean_absolute_advantage_three_seeds,Mean absolute advantage,2,crashed,primary,2026-08-04T20:25:06Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/73i14emu,29600,True,,148,150,148,150,29,0,200,29600,0
env,rundong-liu,JAXUED_TEST,rpm21nrq,sleek-flower-12,maze_mean_positive_delight_three_seeds,Mean positive delight,0,finished,primary,2026-08-07T19:06:07Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/rpm21nrq,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,p7ua9nbk,upbeat-pine-13,maze_mean_positive_delight_three_seeds,Mean positive delight,1,finished,primary,2026-08-07T19:06:23Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/p7ua9nbk,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,wayrdv2d,noble-cherry-14,maze_mean_positive_delight_three_seeds,Mean positive delight,2,finished,primary,2026-08-07T19:06:34Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/wayrdv2d,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,yzl0skqk,editor_transfer-seed0-walls25,maze_editor_transfer_robust_three_seeds,Editor transfer (earlier replication),0,finished,robustness,2026-08-19T20:38:32Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/yzl0skqk,30000,True,,150,150,150,150,30,0,200,30000,0
env,rundong-liu,JAXUED_TEST,1v9wm9if,editor_transfer-seed1-walls25,maze_editor_transfer_robust_three_seeds,Editor transfer (earlier replication),1,finished,robustness,2026-08-19T20:38:42Z,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/1v9wm9if,30000,True,,150,150,150,150,30,0,200,30000,0
