entity,project,run_id,run_name,run_url,group,algorithm,seed,role,run_state,num_updates,progress_fraction,stage,solve_rate,return_mean,eval_episode_length,bank_size,bank_mean_score,bank_weighted_score,bank_max_score,bank_score_q10,bank_score_q50,bank_score_q90,bank_top_score_gap,mean_wall_count_logged,transfer_pre_return,transfer_post_return,transfer_gain_mean,transfer_log_relative_gain_mean,transfer_standard_error,agent_entropy,agent_policy_loss,agent_value_loss,agent_total_loss,replay_batch_size,exact_unique_count,exact_unique_ratio,duplicate_fraction,dominant_count,dominant_share,dominant_exact_hash,shannon_effective_size,simpson_effective_size,score_priority_lift,score_priority_lift_q80_normalized,mean_wall_count,median_wall_count,mean_wall_fraction,median_wall_fraction,mean_solvable,median_solvable,mean_shortest_path,median_shortest_path,mean_manhattan_distance,median_manhattan_distance,mean_path_stretch,median_path_stretch,mean_reachable_fraction,median_reachable_fraction,mean_dead_end_fraction,median_dead_end_fraction,mean_junction_fraction,median_junction_fraction,topology_unique_count,topology_unique_ratio,mean_pairwise_wall_distance_d4,mean_nearest_wall_distance_d4_unique,dominant_level_wall_count,dominant_level_wall_fraction,dominant_level_solvable,dominant_level_shortest_path,dominant_level_manhattan_distance,dominant_level_path_stretch,dominant_level_reachable_fraction,dominant_level_dead_end_fraction,dominant_level_junction_fraction
rundong-liu,JAXUED_TEST,k3t9umt7,editor_transfer-seed0-walls25,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/k3t9umt7,maze_editor_transfer_three_seeds,Editor transfer,0,primary,finished,200,0.006666666666666667,Early (0-10k),0.0,0.0,250.0,2848.0,-0.0009537124424241483,,0.02878750115633011,-0.008054999634623528,0.0,0.004978438373655081,0.008753126487135887,,0.08288473635911942,0.0836566835641861,0.0007719433051533997,,0.006748572923243046,1.838071584701538,-6.4889965869952e-05,0.0028877523727715015,-0.0004590855387505144,32.0,13.0,0.40625,0.59375,19.0,0.59375,70175aa6346a48e2b39c,5.334278092004376,2.723404255319149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rundong-liu,JAXUED_TEST,k3t9umt7,editor_transfer-seed0-walls25,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/k3t9umt7,maze_editor_transfer_three_seeds,Editor transfer,0,primary,finished,400,0.013333333333333334,Early (0-10k),0.0,0.0,250.0,4000.0,-0.0034948564134538174,0.01769239269196987,0.02669687569141388,-0.021739685907959938,0.0,0.012054997496306896,0.0028374996036291122,,0.18187567591667175,0.18234717845916748,0.00047147556324489415,,0.02027015946805477,1.0703881978988647,-0.00012768297165166587,0.005744744557887316,0.001674300990998745,32.0,12.0,0.375,0.625,19.0,0.59375,53a2518f045a81cb9853,5.02527589470583,2.694736842105263,0.02118724910542369,0.6269403045435437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rundong-liu,JAXUED_TEST,k3t9umt7,editor_transfer-seed0-walls25,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/k3t9umt7,maze_editor_transfer_three_seeds,Editor transfer,0,primary,finished,600,0.02,Early (0-10k),0.0,0.0,250.0,4000.0,-0.0036525011528283358,0.027629414573311806,0.04139374941587448,-0.02714593894779682,-0.0004781251773238182,0.016908742487430573,0.003178119659423828,,0.3361767530441284,0.3379096984863281,0.0017329334514215589,,0.027891602367162704,0.9070531725883484,-0.0004290906945243478,0.010148449800908566,0.0037380808498710394,32.0,14.0,0.4375,0.5625,19.0,0.59375,57de9b9055c3379bec93,5.570446759657099,2.7379679144385025,0.03128191572614014,0.7100701833954522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rundong-liu,JAXUED_TEST,k3t9umt7,editor_transfer-seed0-walls25,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/k3t9umt7,maze_editor_transfer_three_seeds,Editor transfer,0,primary,finished,800,0.02666666666666667,Early (0-10k),0.05000000074505806,0.016969997435808182,250.0,4000.0,-0.004222081508487463,0.02252037823200226,0.034456249326467514,-0.029180938377976418,-0.0013921859208494425,0.01769999787211418,0.0015374980866909027,,0.58066326379776,0.5823351740837097,0.0016719144769012928,,0.02230236865580082,0.4919821321964264,-0.0003287261351943016,0.014133636839687824,0.006246109958738089,32.0,17.0,0.53125,0.46875,16.0,0.5,65ea5a1c37a78e1d8184,7.999999999999998,3.764705882352941,0.02674245974048972,0.5704335680889487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rundong-liu,JAXUED_TEST,k3t9umt7,editor_transfer-seed0-walls25,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/k3t9umt7,maze_editor_transfer_three_seeds,Editor transfer,0,primary,finished,1000,0.03333333333333333,Early (0-10k),0.05000000074505806,0.024890000000596046,250.0,4000.0,-0.00429009273648262,0.016322501003742218,0.025425001978874207,-0.028853124007582664,-0.0017750002443790436,0.01732218638062477,1.8749386072158813e-05,,0.6612054109573364,0.6623491048812866,0.0011436132481321692,,0.019992010667920113,0.34322771430015564,-0.0005892622866667807,0.011813044548034668,0.004974032752215862,32.0,12.0,0.375,0.625,19.0,0.59375,67cf452d66f1640e236d,5.02527589470583,2.694736842105263,0.020612593740224838,0.4463985962829396,23.28125,23.0,0.13775887573964496,0.13609467455621302,1.0,1.0,10.625,11.0,10.5,11.0,1.007936507936508,1.0,0.9982758620689656,1.0,0.025574481298841704,0.0273972602739726,0.8111628536995149,0.8082191780821918,12.0,0.375,0.1390413246802825,0.19082840236686385,23.0,0.13609467455621302,1.0,11.0,11.0,1.0,1.0,0.0273972602739726,0.8082191780821918
rundong-liu,JAXUED_TEST,k3t9umt7,editor_transfer-seed0-walls25,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/k3t9umt7,maze_editor_transfer_three_seeds,Editor transfer,0,primary,finished,1200,0.04,Early (0-10k),0.02500000037252903,0.010419999249279499,250.0,4000.0,-0.0041280994191765785,0.017232004553079605,0.027228128165006638,-0.025030624121427536,-0.0020328122191131115,0.015069685876369476,0.0032062530517578125,,0.6863688230514526,0.6873564124107361,0.0009876107797026634,,0.017380619421601295,0.2570074796676636,-0.0006113489507697523,0.010612491518259048,0.004437889438122511,32.0,11.0,0.34375,0.65625,22.0,0.6875,1e0702a06f518f62a996,3.821504587388993,2.0728744939271255,0.021360103972256184,0.5326668041576148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rundong-liu,JAXUED_TEST,k3t9umt7,editor_transfer-seed0-walls25,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/k3t9umt7,maze_editor_transfer_three_seeds,Editor transfer,0,primary,finished,1400,0.04666666666666667,Early (0-10k),0.0625,0.023979997262358665,241.875,4000.0,-0.003849510569125414,0.015889370813965797,0.025231249630451202,-0.022856248542666435,-0.001923438161611557,0.013950933702290058,0.0019656214863061905,,0.6985127925872803,0.7001218795776367,0.0016091567231342196,,0.0168690774589777,0.2283535748720169,-0.0006967668305151165,0.011135566048324108,0.00464266212657094,32.0,8.0,0.25,0.75,24.0,0.75,442e462cf9b6166bb7a4,2.8260326319861955,1.7474402730375427,0.01973888138309121,0.5362779810670222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rundong-liu,JAXUED_TEST,k3t9umt7,editor_transfer-seed0-walls25,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/k3t9umt7,maze_editor_transfer_three_seeds,Editor transfer,0,primary,finished,1600,0.05333333333333334,Early (0-10k),0.08749999850988388,0.04015999659895897,250.0,4000.0,-0.003939076326787472,0.021643970161676407,0.03465624898672104,-0.022673748433589935,-0.0019961700309067965,0.012815934605896473,0.01278124749660492,,0.7071822285652161,0.7074003219604492,0.00021815714717376977,,0.016514988616108894,0.19778744876384735,-0.0007051198626868427,0.01049913838505745,0.004346662200987339,32.0,11.0,0.34375,0.65625,20.0,0.625,953f09f130b146b75b5c,4.438907687133896,2.449760765550239,0.02558304648846388,0.7208586918062851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rundong-liu,JAXUED_TEST,k3t9umt7,editor_transfer-seed0-walls25,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/k3t9umt7,maze_editor_transfer_three_seeds,Editor transfer,0,primary,finished,1800,0.06,Early (0-10k),0.10000000149011612,0.05315500125288963,230.25,4000.0,-0.0034395901020616293,0.021335938945412636,0.032465625554323196,-0.020816249772906303,-0.001585936639457941,0.01212812215089798,0.0005281232297420502,,0.7068037390708923,0.7082099914550781,0.0014062738046050072,,0.016097553074359894,0.17564086616039276,-0.0008098226389847696,0.010052050463855267,0.004040561616420746,32.0,16.0,0.5,0.5,15.0,0.46875,b83a0700821d8f0afd09,8.24571749010433,4.162601626016261,0.024775529047474265,0.7520413230149475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rundong-liu,JAXUED_TEST,k3t9umt7,editor_transfer-seed0-walls25,https://wandb.ai/rundong-liu/JAXUED_TEST/runs/k3t9umt7,maze_editor_transfer_three_seeds,Editor transfer,0,primary,finished,2000,0.06666666666666667,Early (0-10k),0.10000000149011612,0.04123000055551529,250.0,4000.0,-0.003491341834887862,0.02041281759738922,0.03163124620914459,-0.020555313676595688,-0.0017116069793701172,0.011538127437233925,0.004003122448921204,,0.7118399143218994,0.7144453525543213,0.0026054971385747194,,0.01551427785307169,0.17061303555965424,-0.000857775507029146,0.010811681859195232,0.004377452190965414,32.0,15.0,0.46875,0.53125,17.0,0.53125,0cdc4c22ac0fc12935c9,6.802360028503642,3.34640522875817,0.023904159432277083,0.7448300525796958,23.59375,24.0,0.13960798816568049,0.14201183431952663,1.0,1.0,10.28125,12.0,10.09375,12.0,1.0297619047619047,1.0,0.9956925271176349,0.993103448275862,0.028324386100087903,0.034722222222222224,0.813362531871472,0.8055555555555556,15.0,0.46875,0.15407281924031305,0.17909270216962525,24.0,0.14201183431952663,1.0,12.0,12.0,1.0,0.993103448275862,0.034722222222222224,0.8055555555555556
