algorithm,stage,stage_order,n_runs,solve_rate_mean,solve_rate_sem,solve_rate_n,score_priority_lift_mean,score_priority_lift_sem,score_priority_lift_n,score_priority_lift_q80_normalized_mean,score_priority_lift_q80_normalized_sem,score_priority_lift_q80_normalized_n,exact_unique_ratio_mean,exact_unique_ratio_sem,exact_unique_ratio_n,duplicate_fraction_mean,duplicate_fraction_sem,duplicate_fraction_n,dominant_share_mean,dominant_share_sem,dominant_share_n,shannon_effective_size_mean,shannon_effective_size_sem,shannon_effective_size_n,simpson_effective_size_mean,simpson_effective_size_sem,simpson_effective_size_n,topology_unique_ratio_mean,topology_unique_ratio_sem,topology_unique_ratio_n,mean_pairwise_wall_distance_d4_mean,mean_pairwise_wall_distance_d4_sem,mean_pairwise_wall_distance_d4_n,mean_nearest_wall_distance_d4_unique_mean,mean_nearest_wall_distance_d4_unique_sem,mean_nearest_wall_distance_d4_unique_n,mean_wall_count_mean,mean_wall_count_sem,mean_wall_count_n,mean_wall_fraction_mean,mean_wall_fraction_sem,mean_wall_fraction_n,mean_solvable_mean,mean_solvable_sem,mean_solvable_n,mean_shortest_path_mean,mean_shortest_path_sem,mean_shortest_path_n,mean_manhattan_distance_mean,mean_manhattan_distance_sem,mean_manhattan_distance_n,mean_path_stretch_mean,mean_path_stretch_sem,mean_path_stretch_n,mean_reachable_fraction_mean,mean_reachable_fraction_sem,mean_reachable_fraction_n,mean_dead_end_fraction_mean,mean_dead_end_fraction_sem,mean_dead_end_fraction_n,mean_junction_fraction_mean,mean_junction_fraction_sem,mean_junction_fraction_n
Editor transfer,Early (0-10k),0,3,0.10575000185519456,0.014343988183377263,3,0.017484895019118738,0.00019784852889699877,3,0.6914576751348528,0.020727678886235303,3,0.376875,0.0046069467473949955,3,0.6231249999999999,0.0046069467473949955,3,0.6114583333333333,0.007415613221065692,3,5.043360599553839,0.11966195354705031,3,2.677670735503907,0.06040452922133447,3,0.371875,0.006505206248331659,3,0.1308515460965833,0.0031400968942957856,3,0.1874153580366598,0.0007094205778943758,3,23.226041666666664,0.13025832373701857,3,0.13743219921104535,0.0007707593120533657,3,1.0,0.0,3,9.481250000000001,0.6101704210368881,3,9.191666666666668,0.6125115149144366,3,1.0560898418710918,0.029482683820789883,3,0.9987900125898109,0.0002893180027412792,3,0.021470309089129575,0.0008877753920748921,3,0.8206487802869645,0.0014512121825273638,3
Editor transfer,Middle (10-20k),1,3,0.1710000030323863,0.025526131305003395,3,0.012537528809625656,0.00046411409679460457,3,0.75900348077362,0.016309757730254046,3,0.37875,0.010326694776161448,3,0.62125,0.010326694776161448,3,0.6147916666666666,0.007055705925781686,3,5.073401359098011,0.23802344396662206,3,2.714804962881889,0.12612199915935127,3,0.3802083333333333,0.012013086036115419,3,0.132003960679519,0.0033105316615617978,3,0.1873947323834202,0.001571963773823092,3,23.178124999999998,0.014768173832039627,3,0.13714866863905326,8.738564397657e-05,3,0.9947916666666666,0.002755990949025619,3,9.281659946236559,0.26017711632218776,3,8.723958333333334,0.26171343796433355,3,1.082171993909571,0.019269580124510206,3,0.9983903695281614,0.00027315161329127065,3,0.023860680976719794,0.001012253176662117,3,0.8134003069592035,0.001409844873486237,3
Editor transfer,Late (20-30k),2,3,0.2178333371070524,0.040633611003177576,3,0.010064346071643132,0.00013848004712581547,3,0.778064720322489,0.010740769144498962,3,0.3775,0.0035539004394233385,3,0.6225,0.0035539004394233254,3,0.6114583333333333,0.0034105636549468543,3,4.998101156241503,0.054609049287692814,3,2.6582619956308786,0.023684609341605167,3,0.378125,0.011831059053750577,3,0.13127306419800214,0.0031866473715418536,3,0.1879882227967853,0.0001297040073967615,3,23.32604166666667,0.1263512039361366,3,0.13802391518737675,0.0007476402599771365,3,1.0,0.0,3,8.370833333333332,0.4183663250602809,3,8.016666666666666,0.4142062774485409,3,1.0629712628058217,0.017151621186707298,3,0.99886374283712,0.0003279515680858378,3,0.023643241811892448,0.002981216757542927,3,0.8134729274609805,0.0009022671313153556,3
Log-relative transfer,Early (0-10k),0,6,0.14520833554988108,0.020922119418921685,6,0.04667833554388189,0.0009623830306176162,6,0.7047791461584002,0.006684031692804012,6,0.37968749999999996,0.0031571265284537904,6,0.6203124999999999,0.0031571265284537856,6,0.6145833333333334,0.0033176715395657206,6,5.062913348611509,0.06535466087220698,6,2.6727217632197675,0.027838050183863174,6,0.3671875,0.01238882855304192,6,0.12762275720557356,0.0038469454771519695,6,0.18806079800554218,0.0008500628124386182,6,23.440104166666668,0.06267899715237779,6,0.13869884122287968,0.00037088163995489804,6,0.9994791666666667,0.0005208333333333408,6,9.750117607526882,0.5274477639575716,6,9.225,0.41569548274548285,6,1.0708870031085251,0.02668269668529356,6,0.9974553704175353,0.0010189740656945422,6,0.02297675297206768,0.0007486323892407284,6,0.8131711986017646,0.0016572302964559707,6
Log-relative transfer,Middle (10-20k),1,6,0.1946250028318415,0.04170989876464746,6,0.029514484487784404,0.0009359730570219648,6,0.7253140432733991,0.017674614044261443,6,0.38729166666666665,0.0015365907428821475,6,0.6127083333333333,0.0015365907428821495,6,0.6083333333333333,0.0023030022675725823,6,5.201707778044806,0.0638048731345235,6,2.75678834183945,0.052599137505109146,6,0.3796875,0.008866413099444446,6,0.1320119138512439,0.002916148390362119,6,0.18836175924280696,0.0005623945095068127,6,23.349999999999998,0.05940240595576341,6,0.13816568047337277,0.00035149352636546644,6,0.9869791666666666,0.012406333088162847,6,9.010097446236559,0.2062839482157252,6,8.429166666666665,0.29252589213511426,6,1.0971904809175033,0.019156802988498093,6,0.9971029916559431,0.0005938364021088627,6,0.025956668396808158,0.0007184279219059,6,0.8118791929281254,0.0017707152723850364,6
Log-relative transfer,Late (20-30k),2,6,0.25479166937060654,0.05043863500139864,6,0.02395430153546234,0.0004921597783009574,6,0.7910134040644706,0.02744400538198996,6,0.3852083333333333,0.005450216611393631,6,0.6147916666666666,0.005450216611393636,6,0.6094791666666667,0.004313305077831202,6,5.1453529776028395,0.09426014726957119,6,2.7100255880262494,0.03735295137478057,6,0.3984375,0.008939539394361064,6,0.13711188521982567,0.002660476949516845,6,0.18720582103500652,0.0005691622573819053,6,23.383333333333336,0.06466896205118666,6,0.1383629191321499,0.0003826565801845365,6,0.9979166666666667,0.0010416666666666669,6,8.459526209677419,0.45075741531584906,6,7.916145833333334,0.35710735345601774,6,1.0773426866955358,0.01225702728106448,6,0.9974248398142865,0.0005322522784906573,6,0.02411641593203369,0.0008948094752379343,6,0.812177434548687,0.0017576101656022593,6
MaxMC,Early (0-10k),0,6,0.20050000274553895,0.022759613704370782,6,0.19235389046117565,0.00313077627970327,6,0.7090947954874046,0.02491726307009091,3,0.37437500000000007,0.00399869770467003,6,0.625625,0.003998697704670033,6,0.6177083333333334,0.003021910727411453,6,4.9478977130156006,0.05929602731262238,6,2.630877320429731,0.022565506122668968,6,0.3739583333333334,0.008863353077576103,6,0.13113786027867913,0.002804394929917714,6,0.18816663932070302,0.0007799704891333351,6,23.37395833333333,0.1686760383183629,6,0.13830744575936885,0.0009980830669725663,6,1.0,0.0,6,10.421354166666667,0.3664684152725321,6,9.725520833333333,0.2653165079529751,6,1.07939582263801,0.0247161283466788,6,0.9972128744838334,0.0010636647713294569,6,0.02251726086819632,0.0010013406712054836,6,0.8130003033893066,0.0024662000399240935,6
MaxMC,Middle (10-20k),1,6,0.3518333378123741,0.03872777249650125,6,0.1280675939222177,0.0036883405597330195,6,0.6997972924467496,0.027012158977051358,3,0.38458333333333333,0.0038312947477901586,6,0.6154166666666666,0.003831294747790153,6,0.6072916666666667,0.004758946253578042,6,5.14645739692389,0.08305999897998455,6,2.7154775552649526,0.03637918265481144,6,0.37343750000000003,0.011432262006415589,6,0.1295881847680855,0.002901240995306522,6,0.18893477878684975,0.0006605836150665239,6,23.292708333333334,0.050599702184016285,6,0.13782667652859962,0.0002994065217989093,6,0.9994791666666667,0.0005208333333333408,6,10.029939516129033,0.30687681951319706,6,9.655208333333333,0.32144861186423623,6,1.0528870342395455,0.01757545978691068,6,0.9982737122692571,0.0002688776268558151,6,0.02453547259288594,0.0008116565797194568,6,0.8160347587328501,0.0013645705748010115,6
MaxMC,Late (20-30k),2,6,0.40879167154431345,0.05594656751794826,6,0.10537964656949043,0.00502648755097061,6,0.7097879122066364,0.013951604464132213,3,0.38447916666666665,0.005101615008450218,6,0.6155208333333333,0.005101615008450218,6,0.6107291666666667,0.005861724066158166,6,5.139250162410982,0.11929251174256135,6,2.706962765102801,0.05143590342075571,6,0.39947916666666666,0.006113971079512168,6,0.1337453076286823,0.0027770162155084576,6,0.1866115934105451,0.0005162778335236181,6,23.28854166666667,0.08912796083596786,6,0.13780202169625247,0.0005273843836447788,6,0.9989583333333334,0.0006588078458684217,6,9.633400537634408,0.24529078145387612,6,9.182812499999999,0.225246898679168,6,1.0658867878499934,0.013325518053919534,6,0.9970330738780918,0.0005057698060614686,6,0.02479934248235828,0.0006356746787592205,6,0.8163203488294922,0.002521147843092751,6
Mean absolute advantage,Early (0-10k),0,3,0.16133333509787917,0.025930328833644708,3,0.03856938831558843,0.0008825004133765312,3,,,0,0.3779166666666667,0.009230365798698216,3,0.6220833333333333,0.009230365798698218,3,0.6249999999999999,0.008977692261006356,3,4.895952526235429,0.17996963471885155,3,2.573194168303601,0.07382173642133842,3,0.3875,0.007864410870073706,3,0.13054495132658905,0.0030218189002113927,3,0.187604352966779,0.0012840065983405818,3,23.48541666666667,0.0963583895471029,3,0.13896696252465482,0.0005701679854858136,3,0.9979166666666667,0.002083333333333326,3,9.745362903225805,0.18108793452929037,3,8.842708333333334,0.27184706114427265,3,1.11706562618609,0.02821959358154679,3,0.9980962521017349,2.0680654211691488e-05,3,0.026296930413324992,0.002146455765557115,3,0.8122509002966161,0.0030839082490478403,3
